###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**|**W-4**|**W-5**|**W-6**|**W-7**|**W-8**|**W-9**|**W-10**|**W-11**
:-:|:-:|:-:|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--
1|Western|TBD|2856.35|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
2|Eastern|Big Man on Hampus|2786.8|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
3|Yzerman|Phil 'em All|2763.15|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
4|Howe|Franzen-Abdelkader Weissbier|2755.15|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
5|Messier|Stalock Your Doors|2728.6|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
6|Yzerman|Tenacious Turtles|2705.35|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
7|Eastern|Team Name Here|2704.9|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
8|Esposito|Indianapolis Cardinals|2682.2|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
9|Esposito|Pickle Sunrise|2663.05|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
10|Gretzky|Datsyukian Deke|2642.0|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
11|Sakic|It's Benn A While|2638.2|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
12|Gretzky|Pimpin' Ain't Parise|2619.2|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
13|Francis|Whoa Dere|2603.8|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
14|Lemieux|Skaggetorp HC|2591.2|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
15|Western|Kwik-E-Mart Gougers|2589.8|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
16|Western|Tatar Tots|2586.95|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
17|Western|Why The Lulooongo Face?|2585.1|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
18|Roy|Fuzzy Orange Monster|2582.4|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
19|Bourque|Toews'd & Kane-fused|2574.1|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
20|Dionne|Let Them Fight|2558.55|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
21|Francis|Rubber Puckies|2558.35|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
22|Jagr|Crosby Sweaters|2541.9|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
23|Esposito|The Next Jonathan Cheechoo|2540.15|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
24|Howe|One Kessticles|2531.4|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
25|Gretzky|Woppamaniacs!|2527.35|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
26|Lemieux|Daft Puck|2524.5|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
27|Jagr|Up and Around the Benn|2522.1|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
28|Gretzky|Nailing Yaks|2516.45|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
29|Eastern|Drouination|2510.65|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
30|Gretzky|The People's Champion|2510.15|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
31|Eastern|Book Hockey|2504.35|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
32|Gretzky|bob says NYET|2474.0|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
33|Francis|The Fasth and Furious|2468.7|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
34|Gretzky|Bieska and Lulongo|2466.6|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
35|Bourque|Licensed to Phil|2466.6|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
36|Eastern|Girouxve Gotta Be Kidding Me|2465.9|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
