###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**
:-:|:-:|:-:|:--|:--|:--
1|Eastern|Big Man on Hampus-zx|5184.9|NR|NR
2|Western|TBD-zx|5131.1|NR|NR
3|Howe|Franzen-Abdelkader Weissbier-x|4844.4|NR|NR
4|Esposito|Pickle Sunrise-x|4824.15|NR|NR
5|Western|Why The Lulooongo Face?-zx|4710.95|NR|NR
6|Yzerman|Tenacious Turtles-x|4692.7|NR|NR
7|Francis|Whoa Dere-zx|4691.75|NR|NR
8|Lemieux|Daft Puck-zx|4685.05|NR|NR
9|Sakic|It's Benn A While-zx|4650.2|NR|NR
10|Roy|Fuzzy Orange Monster-zx|4642.1|NR|NR
11|Gretzky|Nailing Yaks-x|4631.65|NR|NR
12|Messier|Stalock Your Doors-zx|4622.55|NR|NR
13|Jagr|Up and Around the Benn-zx|4603.4|NR|NR
14|Yzerman|Phil 'em All-zx|4590.7|NR|NR
15|Gretzky|Pimpin' Ain't Parise-x|4577.25|NR|NR
16|Eastern|Book Hockey-zx|4562.25|NR|NR
17|Esposito|The Next Jonathan Cheechoo-x|4546.8|NR|NR
18|Francis|Rubber Puckies-zx|4534.35|NR|NR
19|Gretzky|The People's Champion-x|4510.25|NR|NR
20|Eastern|Drouination-zx|4504.7|NR|NR
21|Jagr|Crosby Sweaters-zx|4494.7|NR|NR
22|Roy|Hanzal Job-zx|4494.65|NR|NR
23|Western|Tatar Tots-z*|4486.15|NR|NR
24|Gretzky|Frolunda HC-x|4484.85|NR|NR
25|Dionne|Let Them Fight-zx|4481.25|NR|NR
26|Howe|One Kessticles-zx|4476.3|NR|NR
27|Bourque|Toews'd & Kane-fused-zx|4474.1|NR|NR
28|Western|Kwik-E-Mart Gougers-zx|4473.05|NR|NR
29|Gretzky|Bieska and Lulongo-x|4468.4|NR|NR
30|Dionne|Starbelly Sneetches-zx|4450.75|NR|NR
31|Gretzky|bob says NYET-zo|4447.6|NR|NR
32|Yzerman|Krejci Train-x|4439.7|NR|NR
33|Yzerman|The Red Hot Chilly Wings-zx|4436.95|NR|NR
34|Eastern|Team Name Here-z|4435.75|NR|NR
35|Messier|macerating toilet-x|4435.35|NR|NR
36|Eastern|Superintendent of Danglebus-z*|4431.75|NR|NR
37|Roy|Wrath of Joe McGrath-zx|4429.0|NR|NR
38|Bourque|Licensed to Phil-x|4424.85|NR|NR
39|Western|JewChooTrain-zx|4424.8|NR|NR
