###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**
:-:|:-:|:-:|:--|:--|:--|:--
1|Lemieux|Skaggetorp HC|1132.2|NR|NR|NR
2|Messier|Stalock Your Doors|1096.55|NR|NR|NR
3|Gretzky|Pimpin' Ain't Parise|1092.75|NR|NR|NR
4|Gretzky|Woppamaniacs!|1064.5|NR|NR|NR
5|Yzerman|Phil 'em All|1064.0|NR|NR|NR
6|Esposito|The Next Jonathan Cheechoo|1047.7|NR|NR|NR
7|Western|TBD|1045.3|NR|NR|NR
8|Western|Kwik-E-Mart Gougers|1037.3|NR|NR|NR
9|Eastern|Team Name Here|1029.7|NR|NR|NR
10|Gretzky|Datsyukian Deke|1021.3|NR|NR|NR
11|Gretzky|Bieska and Lulongo|1018.55|NR|NR|NR
12|Roy|Boats and Hossas|1015.4|NR|NR|NR
13|Eastern|Big Man on Hampus|1009.5|NR|NR|NR
14|Western|Tatar Tots|1007.8|NR|NR|NR
15|Lemieux|Stockholm Hangpungs|1005.7|NR|NR|NR
16|Howe|Franzen-Abdelkader Weissbier|1000.45|NR|NR|NR
17|Roy|Fuzzy Orange Monster|999.25|NR|NR|NR
18|Yzerman|Tenacious Turtles|998.8|NR|NR|NR
19|Howe|One Kessticles|996.2|NR|NR|NR
20|Esposito|Indianapolis Cardinals|994.25|NR|NR|NR
21|Western|Why The Lulooongo Face?|991.55|NR|NR|NR
22|Bourque|Toews'd & Kane-fused|991.15|NR|NR|NR
23|Roy|Staal Tactics|989.7|NR|NR|NR
24|Bourque|Teach Me How to Dougie Hamilton|987.4|NR|NR|NR
25|Sakic|It's Benn A While|975.85|NR|NR|NR
26|Francis|Whoa Dere|975.05|NR|NR|NR
27|Dionne|Let Them Fight|972.6|NR|NR|NR
28|Francis|Rubber Puckies|972.15|NR|NR|NR
29|Eastern|Crosby-Laich-Boyes|970.55|NR|NR|NR
30|Eastern|Girouxve Gotta Be Kidding Me|970.45|NR|NR|NR
31|Eastern|Chara-zard|970.35|NR|NR|NR
32|Esposito|Pickle Sunrise|969.55|NR|NR|NR
33|Eastern|Superintendent of Danglebus|969.3|NR|NR|NR
34|Lemieux|PuckingFricks|965.4|NR|NR|NR
35|Bourque|Licensed to Phil|965.0|NR|NR|NR
36|Messier|macerating toilet|962.65|NR|NR|NR
37|Jagr|Crosboner|961.7|NR|NR|NR
