###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**|**W-4**|**W-5**|**W-6**
:-:|:-:|:-:|:--|:--|:--|:--|:--|:--|:--
1|Messier|Stalock Your Doors|1733.9|NR|NR|NR|NR|NR|NR
2|Gretzky|Pimpin' Ain't Parise|1707.4|NR|NR|NR|NR|NR|NR
3|Western|Tatar Tots|1704.15|NR|NR|NR|NR|NR|NR
4|Western|TBD|1701.8|NR|NR|NR|NR|NR|NR
5|Yzerman|Tenacious Turtles|1701.55|NR|NR|NR|NR|NR|NR
6|Lemieux|Skaggetorp HC|1695.9|NR|NR|NR|NR|NR|NR
7|Eastern|Team Name Here|1687.85|NR|NR|NR|NR|NR|NR
8|Gretzky|Datsyukian Deke|1685.8|NR|NR|NR|NR|NR|NR
9|Esposito|Pickle Sunrise|1676.4|NR|NR|NR|NR|NR|NR
10|Yzerman|Phil 'em All|1661.95|NR|NR|NR|NR|NR|NR
11|Eastern|Big Man on Hampus|1658.75|NR|NR|NR|NR|NR|NR
12|Esposito|Indianapolis Cardinals|1635.2|NR|NR|NR|NR|NR|NR
13|Howe|One Kessticles|1620.55|NR|NR|NR|NR|NR|NR
14|Gretzky|Woppamaniacs!|1608.45|NR|NR|NR|NR|NR|NR
15|Western|Why The Lulooongo Face?|1608.3|NR|NR|NR|NR|NR|NR
16|Howe|Franzen-Abdelkader Weissbier|1605.6|NR|NR|NR|NR|NR|NR
17|Bourque|Toews'd & Kane-fused|1588.45|NR|NR|NR|NR|NR|NR
18|Sakic|It's Benn A While|1583.4|NR|NR|NR|NR|NR|NR
19|Gretzky|Bieska and Lulongo|1557.35|NR|NR|NR|NR|NR|NR
20|Francis|Rubber Puckies|1555.55|NR|NR|NR|NR|NR|NR
21|Eastern|Superintendent of Danglebus|1550.5|NR|NR|NR|NR|NR|NR
22|Esposito|The Next Jonathan Cheechoo|1549.65|NR|NR|NR|NR|NR|NR
23|Lemieux|Stockholm Hangpungs|1544.6|NR|NR|NR|NR|NR|NR
24|Roy|Fuzzy Orange Monster|1540.4|NR|NR|NR|NR|NR|NR
25|Lemieux|PuckingFricks|1537.55|NR|NR|NR|NR|NR|NR
26|Francis|The Fasth and Furious|1535.25|NR|NR|NR|NR|NR|NR
