###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**|**W-4**|**W-5**|**W-6**|**W-7**
:-:|:-:|:-:|:--|:--|:--|:--|:--|:--|:--|:--
1|Western|TBD|1977.1|NR|NR|NR|NR|NR|NR|NR
2|Eastern|Team Name Here|1943.9|NR|NR|NR|NR|NR|NR|NR
3|Messier|Stalock Your Doors|1929.15|NR|NR|NR|NR|NR|NR|NR
4|Western|Tatar Tots|1905.15|NR|NR|NR|NR|NR|NR|NR
5|Lemieux|Skaggetorp HC|1896.9|NR|NR|NR|NR|NR|NR|NR
6|Yzerman|Phil 'em All|1895.3|NR|NR|NR|NR|NR|NR|NR
7|Eastern|Big Man on Hampus|1891.7|NR|NR|NR|NR|NR|NR|NR
8|Gretzky|Pimpin' Ain't Parise|1878.45|NR|NR|NR|NR|NR|NR|NR
9|Gretzky|Datsyukian Deke|1876.55|NR|NR|NR|NR|NR|NR|NR
10|Esposito|Indianapolis Cardinals|1874.2|NR|NR|NR|NR|NR|NR|NR
11|Yzerman|Tenacious Turtles|1861.55|NR|NR|NR|NR|NR|NR|NR
12|Howe|Franzen-Abdelkader Weissbier|1835.3|NR|NR|NR|NR|NR|NR|NR
13|Sakic|It's Benn A While|1831.4|NR|NR|NR|NR|NR|NR|NR
14|Esposito|Pickle Sunrise|1828.1|NR|NR|NR|NR|NR|NR|NR
15|Western|Why The Lulooongo Face?|1815.85|NR|NR|NR|NR|NR|NR|NR
16|Bourque|Toews'd & Kane-fused|1810.25|NR|NR|NR|NR|NR|NR|NR
17|Howe|One Kessticles|1797.9|NR|NR|NR|NR|NR|NR|NR
18|Esposito|The Next Jonathan Cheechoo|1794.6|NR|NR|NR|NR|NR|NR|NR
19|Gretzky|Woppamaniacs!|1792.75|NR|NR|NR|NR|NR|NR|NR
20|Francis|Whoa Dere|1785.6|NR|NR|NR|NR|NR|NR|NR
21|Gretzky|Bieska and Lulongo|1778.45|NR|NR|NR|NR|NR|NR|NR
22|Francis|Rubber Puckies|1778.05|NR|NR|NR|NR|NR|NR|NR
23|Yzerman|The Disciples of Ginger Jesus|1754.0|NR|NR|NR|NR|NR|NR|NR
24|Messier|macerating toilet|1752.7|NR|NR|NR|NR|NR|NR|NR
25|Roy|Mantha's Panthas|1746.9|NR|NR|NR|NR|NR|NR|NR
26|Western|Kwik-E-Mart Gougers|1738.3|NR|NR|NR|NR|NR|NR|NR
27|Gretzky|bob says NYET|1737.15|NR|NR|NR|NR|NR|NR|NR
28|Lemieux|Daft Puck|1734.4|NR|NR|NR|NR|NR|NR|NR
29|Lemieux|PuckingFricks|1733.3|NR|NR|NR|NR|NR|NR|NR
30|Sakic|Halkitalot|1732.2|NR|NR|NR|NR|NR|NR|NR
31|Gretzky|Nailing Yaks|1727.05|NR|NR|NR|NR|NR|NR|NR
32|Gretzky|The People's Champion|1726.5|NR|NR|NR|NR|NR|NR|NR
33|Eastern|Girouxve Gotta Be Kidding Me|1726.2|NR|NR|NR|NR|NR|NR|NR
34|Eastern|Superintendent of Danglebus|1725.25|NR|NR|NR|NR|NR|NR|NR
35|Roy|Fuzzy Orange Monster|1721.35|NR|NR|NR|NR|NR|NR|NR
36|Eastern|Book Hockey|1720.6|NR|NR|NR|NR|NR|NR|NR
37|Dionne|Let Them Fight|1718.95|NR|NR|NR|NR|NR|NR|NR
38|Eastern|Flying Zambonis|1717.65|NR|NR|NR|NR|NR|NR|NR
39|Jagr|Up and Around the Benn|1713.0|NR|NR|NR|NR|NR|NR|NR
40|Yzerman|Puck Her Right In The Perry|1711.4|NR|NR|NR|NR|NR|NR|NR
41|Jagr|Crosby Sweaters|1706.55|NR|NR|NR|NR|NR|NR|NR
42|Roy|Boats and Hossas|1703.85|NR|NR|NR|NR|NR|NR|NR
43|Bourque|Teach Me How to Dougie Hamilton|1700.25|NR|NR|NR|NR|NR|NR|NR
44|Gretzky|RedBull gives you Wingels|1699.95|NR|NR|NR|NR|NR|NR|NR
45|Francis|The Fasth and Furious|1695.45|NR|NR|NR|NR|NR|NR|NR
46|Bourque|Licensed to Phil|1694.55|NR|NR|NR|NR|NR|NR|NR
47|Esposito|The Water Bottle Police|1690.55|NR|NR|NR|NR|NR|NR|NR
48|Eastern|Drouination|1689.4|NR|NR|NR|NR|NR|NR|NR
49|Eastern|Crosby-Laich-Boyes|1675.5|NR|NR|NR|NR|NR|NR|NR
50|Lemieux|Stockholm Hangpungs|1675.15|NR|NR|NR|NR|NR|NR|NR
51|Messier|Who Shattenkirk's Bed|1671.4|NR|NR|NR|NR|NR|NR|NR
52|Dionne|The Ottawa BeeVees|1671.3|NR|NR|NR|NR|NR|NR|NR
53|Howe|The Coolers|1668.95|NR|NR|NR|NR|NR|NR|NR
54|Eastern|Chara-zard|1666.9|NR|NR|NR|NR|NR|NR|NR
55|Howe|Heil Sittler|1662.45|NR|NR|NR|NR|NR|NR|NR
56|Bourque|Cech's Other Brother|1661.45|NR|NR|NR|NR|NR|NR|NR
57|Dionne|Starbelly Sneetches|1660.6|NR|NR|NR|NR|NR|NR|NR
58|Jagr|Soft Dump In The Corner|1659.1|NR|NR|NR|NR|NR|NR|NR
59|Dionne|Habby Habby Habs Habs|1655.1|NR|NR|NR|NR|NR|NR|NR
60|Roy|Kordic Korner|1654.8|NR|NR|NR|NR|NR|NR|NR
61|Francis|Team Ramrod|1645.8|NR|NR|NR|NR|NR|NR|NR
62|Howe|Stomboned1|1642.05|NR|NR|NR|NR|NR|NR|NR
63|Roy|Kurri Farts|1641.0|NR|NR|NR|NR|NR|NR|NR
64|Western|RIP Heatley's Ferrari|1640.85|NR|NR|NR|NR|NR|NR|NR
65|Dionne|InJuryUs_George|1640.6|NR|NR|NR|NR|NR|NR|NR
66|Howe|Multiple Scoregasms|1640.55|NR|NR|NR|NR|NR|NR|NR
67|Howe|Mystic Coupons|1639.4|NR|NR|NR|NR|NR|NR|NR
68|Esposito|Kevin Chevel's Day Off|1633.25|NR|NR|NR|NR|NR|NR|NR
69|Roy|Staal Tactics|1633.1|NR|NR|NR|NR|NR|NR|NR
70|Western|TeamNameRequired|1631.65|NR|NR|NR|NR|NR|NR|NR
71|Sakic|Penner 15 Club|1625.9|NR|NR|NR|NR|NR|NR|NR
72|Western|JewChooTrain|1619.55|NR|NR|NR|NR|NR|NR|NR
73|Eastern|King of the Kessel|1615.0|NR|NR|NR|NR|NR|NR|NR
74|Roy|Wrath of Joe McGrath|1613.1|NR|NR|NR|NR|NR|NR|NR
