###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**
:-:|:-:|:-:|:--
1|Howe|MacDaddy|219.12
2|Coffey|Dany Heatley's Limo Service|213.19
3|Yzerman|Duck Duck Nyquist|194.73
4|Recchi|Cech's Other Brother|177.63
5|Bourque|Glatt's Greatures|173.5
6|Sakic|#SaveTheTables|171.28
7|Hasek|Denim Chicken|170.83
8|Dionne|Krieder Hard|170.62
9|Esposito|Kane I get a hell Yeah!|168.74
10|Francis|Heil Sittler|168.36
11|Hasek|Zetterberg Curve|167.46
12|Roy|Mint Barrie Crunch!|167.01
13|Bourque|Btchz Be Krejci|163.55
14|Messier|Flop To The Top|162.88
15|Francis|Kneel before Saad|162.29
16|Roy|Hiller Invades Bolland|161.6
17|Lemieux|Kronwall Of Pain|160.54
18|Recchi|Kreider, I hardly know her|160.16
19|Roy|Hertl Squad|160.1
20|Hasek|JewChooTrain|157.0
21|Lemieux|McCoy's Red Army|157.0
22|Sakic|ponch|156.91
23|Bourque|bruceitup|156.65
24|Gretzky|Tarasenkyu Very Much|155.97
25|Brodeur|Cell Phones and Plane Tickets|155.9
26|Dionne|Dionamite Jones|153.36
27|Jagr|tba name|152.45
28|Roy|Oh The Places We'll Go!|150.84
29|Jagr|Tatartots|149.16
30|Gretzky|OEL Sweedwagon|148.93
31|Howe|Large Oreo McFleury|147.43
32|Esposito|Hockey puns|146.78
33|Roy|Bo Scorevat|145.06
34|Jagr|NO LEAFS!!|144.65
35|Francis|Top Chetterberg|144.53
36|Recchi|Dr. Draisaitl's Sick Beats|144.35
37|Roy|Bar Down|143.95
38|Hasek|Boyz N Da Hud|143.69
39|Sakic|Another Brick in the Roy|142.91
40|Lemieux|Pretend This Name's Clever|142.78
41|Brodeur|Can you handle the Yandle?|142.71
42|Sakic|Tomas Fleischlights|142.59
43|Messier|The Green Men's Eggos|141.92
44|Yzerman|SportsNewbie|141.91
45|Gretzky|Datsyukian Deke|141.44
46|Brodeur|That's What She Saad|140.88
47|Coffey|Lubo Sucks|140.73
48|Jagr|Prustcription PangHillers|140.54
49|Yzerman|Don't Toews Me Bro|138.96
50|Brodeur|blackandorangeblackandorange|138.83
51|Roy|Trial By Thryr|138.59
52|Dionne|Otto Draft|138.24
53|Coffey|Fantastic Mr. Faulks|137.8
54|Lemieux|Barrie Mark's Stone|137.43
55|Messier|Skaggetorp HC|137.14
56|Francis|Rose City Sinners|136.94
57|Esposito|Yippee Oh Paille|136.38
58|Gretzky|RIP Heatley's Ferrari|135.75
59|Esposito|Eddie Lack's Corn Boats|135.72
