###OVERALL POINTS LEADERS - Who has scored hte most points this season?
**Rank**|**League**|**Team**|**User**|**PF**
:-:|:-:|:-:|:-:|:--
1|Chelios|Seattle Freeze|christhrowrocks|1185.25
2|Jagr|Swing Low, Sweet Chiarot|leapinliz|1116.1
3|Hasek|Bar Down|Minnesnota|1105.45
4|Orr|Queen Anne's Lake Monsters|MWHazard|1095.1
5|Gretzky|Eat your Cale, kids|bruinhawks|1088.8
6|Gretzky|PartyKane|selcio44|1088.65
7|Gretzky|hbt|onegaishimasu|1085.45
8|Freddie-Hutton|Letangry Birds|russtyj|1075.35
9|Hasek|Noddan HC|noddan|1070.1
10|Yzerman|Blue Lines Matter|PaperParrot|1069.2
11|Gretzky|Fowler Power|VoodooSteve|1064.45
12|Dionne|RalJTK's Team|RalJTK|1061.15
13|Howe|Russian Gas|JayWilly|1051.35
14|Gretzky|Josi's Story|SPRX97|1051.1
15|Hasek|Kreider Hard|BluntForce19|1050.75
16|Bourque|Cant think of a pun|ronan00|1044.25
17|Roy|NHL Bubble Boy|boywoods|1043.8
18|Leetch|DingleBarrie's|jacouzzie|1041.9
19|Hasek|Big Johnsons|barrill|1036.85
20|Roy|Denim Chicken|sleeptalkerz|1032.8
21|Yzerman|Putting On The Foil|Uncledonny|1030.75
22|Roy|Bluth's Bananas|zodiac33|1030.05
23|Leetch|Chicken and Raffls|funkyquasar|1029.85
24|Howe|Cow Tipping Mafia|ImminentFate|1027.05
25|Jagr|Licensed to Phil|ovorc|1025.4
26|Hasek|Tenacious Turtles|dzibanche|1024.95
27|Yzerman|Yaheardwperd|yaheardwperd|1024.7
28|Lemieux|Hicks Hackin' Darts|Cyperone|1021.8
29|Freddie-Hutton|Boats Boats Boats|ckroyal92|1021.6
30|Freddie-Hutton|Storm the Capitals /s|BOBROVSKY|1016.55
31|Freddie-Hutton|Dumplers|ShinyLeprechaun|1012.7
32|Roy|The Manthalorian|sickboy1965|1010.8
33|Roy|Hockey Style|tgmills|1007.75
34|Freddie-Hutton|Democratic People's Republic of Kariya|kjohnm|1007.0
35|Howe|Ogie Ogilthorpe|marcram|1003.7
36|Orr|sportsdatastuff.com|derekjohn|1003.45
37|Gretzky|Rust|benzene96|999.5
38|Gretzky|The Ides of Marchand|concini|999.35
39|Hasek|MirrorHall|akacesfan|996.35
40|Roy|NurseSharks|fidel-catstro|994.15
41|Howe|CovidTimeHockey|hholysheet|992.95
42|Hasek|Bert Ehn Erne|Howe_U_Doin|991.6
43|Niedermayer|Deutschland Danglers|ebay12|990.6
44|Freddie-Hutton|Koplin's Spartans|koplin|988.4
45|Jagr|Get CTE or Die Tryin'|dorsia|986.85
