rank	league	team	user	wins	losses	pf	pa	cr
1	Orr	Orr winnerQueen Anne's Lake Monsters	MWHazard	10	3	3172.7	2451	96.31%
2	Leetch	Leetch winnerChicken and Raffls	funkyquasar	12	1	3127.2	2356.45	97.28%
3	Freddie-Hutton	Letangry Birds	russtyj	10	3	3115.7	2669.35	96.21%
4	Chelios	Chelios winnerSeattle Freeze	christhrowrocks	12	1	3115.55	2338.7	96.52%
5	Dionne	Dionne winnerRalJTK's Team	RalJTK	12	1	3094.8	2503.9	95.48%
6	Hasek	Hasek winnerNoddan HC	noddan	8	5	3050.85	2778.55	98.76%
7	Jagr	Licensed to Phil	ovorc	12	1	3041.7	2328.05	98.36%
8	Jagr	Swing Low, Sweet Chiarot	leapinliz	11	2	3032.9	2291.8	97.59%
9	Hasek	Kreider Hard	BluntForce19	12	1	3028.3	2577.25	99.17%
10	Yzerman	Yaheardwperd	yaheardwperd	11	2	3022.1	2413.75	94.13%
11	Yzerman	Putting On The Foil	Uncledonny	10	3	3013.15	2610.6	98.2%
12	Gretzky	Objects in the Rear View Miro May Appear Closer Than They Are	Boboombang	9	4	2994.5	2657.25	98.05%
13	Howe	Ogie Ogilthorpe	marcram	10	3	2971.65	2539.7	96.62%
14	Gretzky	Eat your Cale, kids	bruinhawks	4	9	2960.6	2994.3	97.88%
15	Roy	Roy winnerDenim Chicken	sleeptalkerz	10	3	2955.95	2623.4	97.72%
16	Lemieux	Hicks Hackin' Darts	Cyperone	12	1	2953.65	2488.9	89.47%
17	Jagr	Go Nurse Your Stones	gumbosious	12	1	2951.75	2631.95	98.7%
18	Lemieux	Lemieux winnerStrong Coffey	TwistedEdge	11	2	2946.4	2441.65	96.94%
19	Freddie-Hutton	Dumplers	ShinyLeprechaun	6	7	2929	2833.35	93.59%
20	Gretzky	Josi's Story	SPRX97	8	5	2928.6	2758.2	98.9%
21	Gretzky	The Ides of Marchand	concini	7	6	2927.8	2789.75	94.64%
22	Gretzky	hbt	onegaishimasu	7	6	2927.2	2817.2	92.79%
23	Lidstrom	Lidstrom winnerHow Are Ya Now?	Thomsco	11	2	2903.4	2349.1	95.41%
24	Howe	Cow Tipping Mafia	ImminentFate	9	4	2887.1	2716.85	98.84%
25	Chelios	Solar Bears	friendo	9	4	2879.15	2348.85	96.87%
26	Roy	The Manthalorian	sickboy1965	8	5	2878.4	2759.1	97.93%
27	Gretzky	Tarasenkyu Very Much	ch1zzle	8	5	2877.4	2811.4	97.54%
28	Gretzky	Fowler Power	VoodooSteve	8	5	2876.1	2945.5	94.05%
29	Yzerman	Yzerman winnerBlue Lines Matter	PaperParrot	11	2	2868.65	2190	95.77%
30	Hasek	MirrorHall	akacesfan	8	5	2867.65	2643.6	96.4%
31	Roy	NHL Bubble Boy	boywoods	9	4	2866.4	2604.6	97.5%
32	Hasek	Bert Ehn Erne	Howe_U_Doin	7	6	2865.25	2574.1	96.89%
33	Hasek	Almost Famous	aleski	8	5	2855.2	2754.2	98.85%
34	Howe	Howe winnerCovidTimeHockey	hholysheet	11	2	2854.7	2405.25	99.18%
35	Lidstrom	District 5	MashBano	12	1	2852	2197.1	97.12%
36	Gretzky	Gretzky winnerRust	benzene96	9	4	2841.65	2663.25	99.28%
37	Hasek	Big Johnsons	barrill	9	4	2841.25	2575.55	97%
38	Freddie-Hutton	Boats Boats Boats	ckroyal92	7	6	2829.05	2825.85	95.35%
39	Freddie-Hutton	Democratic People's Republic of Kariya	kjohnm	9	4	2823.55	2686.3	96.55%
40	Roy	Bluth's Bananas	zodiac33	8	5	2821.15	2606.1	96.4%
41	Pronger	Pronger winnerVancity Grit Grinders	nickfrompitt	10	3	2810.8	2207.95	97.84%
42	Chelios	Toronto Center of the Universe	CasualMetaphor	11	2	2807.1	2421.2	94.9%
43	Gretzky	watch your mouth	tooproforyou	5	8	2799.45	2951.1	88.92%
44	Freddie-Hutton	Freddie-Hutton winnerNever Go Full Tkachuk	DonPaita	10	3	2791.1	2536.35	97.47%
45	Roy	NurseSharks	fidel-catstro	8	5	2789.75	2594.65	90.46%
46	Niedermayer	Niedermayer winnerPortland Buckaroos	TooManyPuppies	12	1	2783.1	2039.2	96.78%
47	Freddie-Hutton	Robin Hrood	hotoatmeal	8	5	2783	2750.9	96.52%
48	Gretzky	Dear Mr. Fantasy God Mitch Marner	Kovellen	7	6	2779.9	2801.6	99.32%
49	Freddie-Hutton	Koplin's Spartans	koplin	8	5	2779.55	2698.6	95.2%
50	Howe	Russian Gas	JayWilly	8	5	2778.95	2572.3	93.82%
51	Freddie-Hutton	Pimpin' Ain't Parise	Woppa	7	6	2772	2671.1	97.04%
52	Leetch	DingleBarrie's	jacouzzie	10	3	2764.4	2352.9	95.84%
53	Dionne	South Detroit Journeymen	Scooterkid	8	5	2762.5	2549.15	89.67%
54	Orr	sportsdatastuff.com	derekjohn	9	4	2759.2	2244.65	91.5%
55	Hasek	Bar Down	Minnesnota	5	8	2758.65	2758.9	91.18%
56	Lemieux	Divorced Guys	bruceitup	9	4	2755.85	2317.95	96.85%
57	Freddie-Hutton	No Reimer Reason	Tsunkatse	6	7	2734.15	2695.1	95.68%
58	Yzerman	ChazMichael's team	ChazMichaels	11	2	2725.4	2403.85	92.43%
59	Lidstrom	I have no idea what I'm doing	Thatguy91	11	2	2719.9	2176.45	94.72%
60	Gretzky	PartyKane	selcio44	6	7	2718.55	2784.1	92.79%
61	Roy	Hockey Style	tgmills	9	4	2715.1	2670.35	97.89%
62	Hasek	Tenacious Turtles	dzibanche	7	6	2711.8	2684.4	96.2%
63	Bourque	Mag	bigtatis	12	1	2698.25	2113.5	90.76%
64	Bourque	Cant think of a pun	ronan00	10	3	2693.25	2336	90.64%
65	Niedermayer	Deutschland Danglers	ebay12	8	5	2693.2	2437.45	88.13%
66	Roy	TBA	Coyle1096	3	10	2693.05	2864.6	88.7%
67	Lemieux	Live Laf Love	uh3ckinwotm8	10	3	2692.95	2349.6	94.93%
68	Dionne	bradisrad	Bradisrad	9	4	2689.6	2424.5	94.9%
69	Freddie-Hutton	Book Hockey	TwoPlanks	4	9	2689.5	2879.4	93.29%
70	Leetch	Buckets of Poutine	WalterRaleigh	8	5	2679.95	2342.5	93.76%
71	Jagr	Jagr winnerGet CTE or Die Tryin'	dorsia	8	5	2674.65	2341.75	96.11%
72	Dionne	Asston Mustachews	tom1251	8	5	2673.55	2534.25	97.69%
73	Hasek	Starship Troubas	LesVlads	6	7	2672.95	2726.3	91.4%
74	Bourque	Bourque winnerWeiss Guys	GusZ	10	3	2653.55	2142.45	96.96%
75	Niedermayer	In the Hall of the Malkin Kane	cromz	10	3	2642.25	2358.75	92.64%
76	Gretzky	Flying Zambonis	Cannon49	5	8	2640.4	2721.55	95.2%
77	Bourque	Washington Hockey Team	hkyplyr	11	2	2633.9	2046.65	95.12%
78	Roy	Oh, The Thinks You Can Think!	Kattsumoto	3	10	2631.6	2787.4	88.36%
79	Freddie-Hutton	Storm the Capitals /s	BOBROVSKY	6	7	2627.15	2609.35	92.97%
80	Gretzky	So Gritty!	MorphineSmile	4	9	2607	2830.7	92.82%
81	Howe	Syracuse Bulldogs	Orbalisk	9	4	2606.45	2418.15	93.57%
82	Orr	Deez Pukz	nitro78923	12	1	2600.95	2118.55	93.95%
83	Roy	Meier? I Hardly Even Know Her	SPEMason	6	7	2597.55	2644.7	92.61%
84	Pronger	Two Tone Tounge Ticklers	Earlthegoat	9	4	2596.7	2344.75	95.42%
85	Jagr	The Yzerplan	hockeymax93	8	5	2583.55	2443.75	94.93%
86	Niedermayer	Zuckie's Cookies	Daschn	12	1	2582.55	2185.5	94.75%
87	Gretzky	Tkachuk Norris	Twitty	4	9	2580.65	2933.9	91.62%
88	Hasek	Clap Bombs, Fck Moms	Joel249	8	5	2578	2648.25	91.85%
89	Roy	Mystic Coupons	tweedledunn	8	5	2575.6	2589.25	93.96%
90	Howe	Zwuibot's revenge tour	Wuibot	8	5	2570.5	2484.95	93.48%
91	Dionne	Bony Kneez	Do_Not_Look_Up	6	7	2568.6	2550.55	92.75%
92	Orr	Five Hole Feast	AceJiggy19	8	5	2563.1	2195.75	96.13%
93	Yzerman	Five Hole Douches	Douche78	9	4	2560.25	2430.3	96.05%
94	Orr	Stars of David	brown4se	8	5	2557.25	2356.15	91.11%
95	Pronger	Jurgen's Jungs	Moodano9	11	2	2543.8	2199.95	91.09%
96	Jagr	Pay Cheque	ndjolt02	6	7	2536.5	2442.45	86.65%
97	Lemieux	Dumba and Dumber	Surpsu	9	4	2534.9	2441.15	90.22%
98	Roy	Big Dumb Jerks	slaw47	4	9	2532.55	2640.75	92.06%
99	Lidstrom	Soo Greyhounds	MarcBergevin	8	5	2531.1	2215.25	93.92%
100	Jagr	Bunch of Kunitz	yalittlehip	7	6	2527.9	2468.25	92.98%
101	Dionne	RIP Heatley's Ferrari	SHTTNwTHINKIN	8	5	2523.55	2338	93.14%
102	Roy	Dumpster Fire Brigade	paularlington	6	7	2522.9	2570.65	96.84%
103	Dionne	The Green Bastards	Canadianheel	6	7	2522.1	2414.85	91.8%
104	Dionne	Up and Around the Benn	jagoe_unchained	9	4	2521.4	2316.6	90.52%
105	Freddie-Hutton	falco1002	chaopw2010	5	8	2520.05	2802.95	97.43%
106	Howe	Josi and the pussycats	BoardControl	5	8	2517.3	2534.15	90.22%
107	Orr	Jepeetos	Jepeeto	8	5	2517.2	2399.6	87%
108	Roy	Team Zissou	ska5fe	5	8	2515.3	2666.45	93.41%
109	Yzerman	Kane you Fial it	mnm501288	6	7	2513.05	2567.6	92.78%
110	Hasek	The Larkness Monster	RonDC30	3	10	2512.1	2872	90.51%
111	Dionne	Teenage Mutant Ninja Hertl	SimpsonN1nja	8	5	2508.2	2382.85	94.83%
112	Leetch	The Ides of Marchand	CTonyJab	9	4	2506.95	2231.5	93.18%
113	Jagr	Mantha's Marauders	Azotherian	7	6	2499.2	2369.85	95.65%
114	Hasek	Frolunda HC	FCBcn19	6	7	2498.7	2746.65	95.66%
