ponch101,293.99
Witty team name,290.68
Kinki Kids,280.4
Alexander Radiculous' Team,273.62
EXCELlent,267.46
Go Puck Yourself,267.36
Drouination,257.78
Mystic Coupons,256.82
The Ides of Marchand,254.9
Team North Americarambe,254.27
I am NOT drinking any f-ckin Marleau,249.76
Tarasenkyour Battleship,248.29
Non-stop Saadomy,247.68
Price Price Baby,243.43
Pikachubban,240.08
Halak Ness Monster,238.39
Stralman Fallacy,238.34
Straight Cash Homie,238.05
Stars of McDavid,237.33
Benn There Done That,236.77
Puns not dead,232.58
Dubinsky's Garage League,232.11
Denim Chicken,230.65
Benzene96,230.38
Double Bennatration,228.26
Lubo Sucks,227.92
I Am Score,227.04
Hartford Gougers,226.1
Zdeno Charazard,225.23
Ginger Geesus's Grilled Cheeses,225.11
Democratic People's Republic of Kariya,223.87
Wrath of Joe McGrath,223.73
Bar Down,223.04
Damper Than Moist,222.97
St. John's Shamrocks,222.3
Nastyearwax,222.17
Doughty Didn't Deserve The Norris,220.88
Pimpin' Ain't Parise,218.72
Bust a Kapanen,218.66
MayTheForsbergWithYou,218.44
Nailing Yaks,216.33
Red Star Beijing,216.31
Karl on my Wayward Sson,215.08
Frolunda HC,214.39
Human Erasers,213.97
falco1002,213.69
Tarasenkyu Very Much,211.94
Dumpster Fire Brigade,211.8
Coyotes 2.0,210.34
Up and Around the Benn,208.41
CTE,208.33
Cookie Thumpers,207.85
Jagr Bomb,207.64
Stastny & Hutch,207.42
Boilermaker Brawlers,206.17
Goaltender Interference,206.11
The Larkness Monster,206.1
PassTheCulpepper,205.83
Al Jardine,205.47
Hash Hockey,204.97
FL Skunk Apes,204.42
Ruh Oh...,204.16
Enter Creative Name Here,203.45
South Detroit Journeymen,203.05
Andre and the Goons,202.36
bob says NYET,202.04
Cell Phones and Plane Tickets,200.09
Toews in the Water,199.15
Endless Love,198.41
Penners Pancakes,198.35
Snizzbone,198.35
McCoy's Red Army,197.68
Flying Zambonis,197.47
CuJo31,197.13
Generic Hockey Pun,196.39
Everyone Poops,196.01
Clemens HC,195.54
Corsi? What Corsi?,195.03
xMrSleepyx,194.94
2 Girls 1 Kopitar,194.74
Hattrick Pornqvist,193.87
Sheahan's Shillelaghs,193.87
Wrath of Grapes,193.61
Bill Crosby,193.14
Kessel's Cookie Jar,193.03
Mackinnon Your Girl,192.95
I am score,192.78
Syracuse Bulldogs,192.08
Heil Sittler,191.89
RIP Heatley's Ferrari,191.86
kyOh,191.6
Kreider Hard,190.88
Mackinnon Out Burger,190.62
Team Ukraine,190.03
Right in the Pucker,188.3
The Dat-sucks,188.19
Horton Hears a Who!,187.29
San Jose Street Sharks,186.59
Mike Smith's Chosen Juans,186.33
cRosby SwAllows,186.15
Helle's Belles,185.84
Now Josi Me 3: Let's Get Roman-tic,184.59
Pucking Fricks,184.24
Konecnywa,184.0
The Big Pavelski,183.66
Parise Taught Me,183.39
King of the Kessel,181.5
Hiller Youth,181.1
Gordie Howe Hatrick,181.01
Sticks out for Harambe,180.97
Toewsd And Confused,180.94
Ghost Bear,180.89
Charlottetown Islanders,180.74
Malkin a Murderer,180.05
McDavid Paradox,179.58
Sharp Ladds,179.45
Giroux've Gotta Be Kidding Me!,179.17
Bryan Rust and the Rusty Plugs,178.8
Not My Team,178.47
Do You Smell What Laraque Is Cookin?,177.39
North Stars,176.95
Bergeron Burgundy,176.32
Hypnotoads,175.83
Finnishing Touch,175.74
Hossas & Mimosas,175.42
The Red Hot Chilly Wings,175.24
Red Wing High Five,174.44
40-30 Grit Grinders,174.22
The JiiiveTurkays,173.66
Jagr Bombs,173.34
The Cake Eaters,173.19
JewChooTrain,173.09
Kwik-E-Mart Gougers,172.77
Btchz B Krejci,171.53
All Down The Laine,169.93
NoseFaceKillahs,169.3
macerating toilet,169.04
M&Ms,167.18
Whirlybirds,166.09
Leafs,165.82
Crosby Sweaters,165.29
Dont Fehr the Reaper,165.26
Tomas Fleischlights,163.98
Vesey scar,163.96
Mud Dragons,163.68
Kurri Farts,163.56
Risky Bryz-ness,162.83
The Mighty Red Pandas,162.7
Nobody Moves Nobody Gets Hurt,162.7
Vancouver Voodoo,162.66
Clatsyuk,161.59
Lizard Wizards,161.33
The Snow Mexicans,160.88
Avadabdelkader,159.93
KappinKurtz,159.38
Gilmour Girls,159.32
TeamNameRequired,158.7
I Ain't Seguin She a Gold Digger,158.15
Corey Perry's House of Payne,158.05
OK Blue Jays,158.02
Neal's Knees,157.78
Book Hockey,156.84
Dr. Draisaitl's Sick Beats,156.68
WhoseLineIsItEberle,156.09
One Kessticles,155.56
Yak City,155.13
Burns-in' Down the House,152.46
Damn Barrie Sucks,151.98
GloOon Squad,151.6
Larkinine,150.71
South City Squash,149.96
Tokyo Sandblasters,148.93
The Ottawa BeeVees,148.6
Puget Sound FHC,148.03
Dangletangs III,146.54
License to Ilya,146.34
Pickle High-Noon,145.02
NurseSharks,144.32
Everyday I'm Byfuglein,143.9
Krejci Train,143.13
Datsyukian Deke,142.91
Octopussy,142.13
Scooby Dooby Dubnyk,141.23
AO GR8,140.25
LAUREN PRONGER,140.08
Lonely End of the Rink,139.89
Go Vesey On Me,138.05
The Ponies of Equestria,137.48
ktcottrell,136.78
Montreal Dive,136.14
A Song of Ice and Thryr,135.88
Book Hockey,135.57
Fussy Puckers,135.21
Big Trouba in Little Giroux,134.83
Kronwall of Pain,134.61
Chara's Angels,132.69
Wennereal Disease,132.39
Acting Like Aho,131.28
Flop To The Top,131.16
Stan Mikita's Donuts,131.09
Ice Roosters,130.69
Vienna Canucks,128.43
skankhunt42,126.01
Ha Ha Boys,122.93
SportsNewbie,122.38
Capital Punishment,121.65
Tropical Depressions,119.93
Molemen,119.43
Smuggy Dugnubs,119.07
Ghost Bear Nation,117.17
Matthews the Saviour,114.92
Honey Nut Chelios,114.52
Shivakamini Somakandarkram,113.94
AGexpress,112.67
Toews'd & Kane-fused,111.53
Doan Look Backes,108.41
Flashes of Greatness,106.95
Puck It,106.43
You're so Radulov,104.79
Karlsson 1st Overall,103.42
The Musical Fruits,101.34
Teamy McTeamface,96.8
VooDaddy,95.84
Re-Phil-ing the Cup,93.2
