###LEAGUE LEADERS - Who's in first place?
**LEAGUE**|**TEAM**|**RECORD**|**GAMES AHEAD**
:-:|:-:|:-:|:-:
Gretzky|Book Hockey, OEL Sweedwagon, RIP Heatley's Ferrari, Tenacious Turtles, Drouination, Nailing Yaks, Tarasenkyu Very Much|1-0|0
Brodeur|Up and Around the Benn, Cell Phones and Plane Tickets, Krejci Train, That's What She Saad, Promotion by Dropout, Crosby Sweaters, Wrath of Joe McGrath|1-0|0
Roy|Mint Barrie Crunch!, Cloud Giroux, Hertl Squad, Trial By Thryr, Bo Scorevat, Hiller Invades Bolland, bob says NYET|1-0|0
Hasek|Toews'd & Kane-fused, Flying Zambonis, Elbow Room #41in15, The Rickbreath 40-30s, JewChooTrain, Denim Chicken, CTE|1-0|0
Esposito|EXCELlent, Eddie Lack's Corn Boats, Yippee Oh Paille, WhoseLineIsItEberle, Morbo, Hockey puns, Kane I get a hell Yeah!|1-0|0
Sakic|ponch, Mountain Dubinsky's, #SaveTheTables, Tomas Fleischlights, Stupid Sexy Henrik, Your Pun Sucks, Another Brick in the Roy|1-0|0
Coffey|LGR, MikePiazza, Bowl of Pastrnak, Lubo Sucks, Fantastic Mr. Faulks, Dany Heatley's Limo Service, Slew Foot Syndicate|1-0|0
Yzerman|SportsNewbie, Don't Toews Me Bro, Hot Crosby's, The Perry on Top, Duck Duck Nyquist, Richers to Hags, I don't know|1-0|0
Dionne|Letangarang, Scoregasm99, Fighting MooseKnucklez, Krieder Hard, Nash Rules Everything Around Me, Dionamite Jones, Otto Draft|1-0|0
Lemieux|McCoy's Red Army, Barrie Mark's Stone, South City Squash, Kronwall Of Pain, Dr. Peng's Army, 'Scuse me while I Qvist the Sky, The People's Front of Judea|1-0|0
Bourque|Crosby's Mayo Boy House, It Ain't Easy Bein' Parise, Ginger Geesus's Grilled Cheeses, bruceitup, Glatt's Greatures, Better Harder Faster Pronger, Btchz Be Krejci|1-0|0
Francis|Red, Rose City Sinners, Tarasenk-show, Heil Sittler, Talk to me Goose, Top Chetterberg, Kneel before Saad|1-0|0
Recchi|Giroux've Got to Be Kidding Me, Fussy Puckers, Cammalleri Toews, Carl Seguin, Cech's Other Brother, Kreider, I hardly know her, Dr. Draisaitl's Sick Beats|1-0|0
Howe|Puck Heads, Mystic Coupons, Large Oreo McFleury, Good Kid, S.A.A.D City, The Lunkheads, Holy Goalie, Batman!, MacDaddy|1-0|0
Jagr|The Tarasenkshow, Tatartots, falco1002, tba name, Sharknadoes, NO LEAFS!!, Prustcription PangHillers|1-0|0
Messier|Crystal Lake Campers, Skaggetorp HC, Glengarry Glencross, The Green Men's Eggos, Flop To The Top, Larkin in the Shadows, Oil Beef Hooked|1-0|0
-----

###LONGEST WIN/LOSS STREAKS - Who's hot and who's not?
**LEAGUE**|**TEAM**|**STREAK**|**RECORD**
:-:|:-:|:-:|:-:
Gretzky|Book Hockey|W1|1-0
Gretzky|OEL Sweedwagon|W1|1-0
Gretzky|RIP Heatley's Ferrari|W1|1-0
Gretzky|Tenacious Turtles|W1|1-0
Gretzky|Drouination|W1|1-0
Gretzky|Nailing Yaks|W1|1-0
Gretzky|Tarasenkyu Very Much|W1|1-0
Brodeur|Up and Around the Benn|W1|1-0
Brodeur|Cell Phones and Plane Tickets|W1|1-0
Brodeur|Krejci Train|W1|1-0
Brodeur|That's What She Saad|W1|1-0
Brodeur|Promotion by Dropout|W1|1-0
Brodeur|Crosby Sweaters|W1|1-0
Brodeur|Wrath of Joe McGrath|W1|1-0
Roy|Mint Barrie Crunch!|W1|1-0
Roy|Cloud Giroux|W1|1-0
Roy|Hertl Squad|W1|1-0
Roy|Trial By Thryr|W1|1-0
Roy|Bo Scorevat|W1|1-0
Roy|Hiller Invades Bolland|W1|1-0
Roy|bob says NYET|W1|1-0
Hasek|Toews'd & Kane-fused|W1|1-0
Hasek|Flying Zambonis|W1|1-0
Hasek|Elbow Room #41in15|W1|1-0
Hasek|The Rickbreath 40-30s|W1|1-0
